N,P,K,temperature,humidity,ph,rainfall,label
28.05,57.49,24.26,16.78,36.32,6.33,97.3,kidneybeans
17.49,54.18,31.53,25.96,34.47,6.55,100.83,kidneybeans
20.91,75.82,28.68,21.21,37.38,6.47,84.59,kidneybeans
33.27,56.79,27.86,19.04,38.14,6.08,73.2,kidneybeans
16.77,65.1,28.0,16.88,26.75,6.33,106.87,kidneybeans
23.14,79.73,20.41,15.14,32.22,5.64,75.09,kidneybeans
33.85,50.36,22.43,17.98,32.18,5.73,74.28,kidneybeans
34.01,66.69,15.91,25.97,25.35,6.9,85.56,kidneybeans
23.22,65.37,30.74,24.57,24.44,6.64,70.62,kidneybeans
28.35,74.22,23.66,26.64,22.28,6.88,91.7,kidneybeans
24.13,60.66,23.76,16.21,33.19,6.88,105.38,kidneybeans
30.07,62.31,19.91,22.11,35.62,6.47,110.07,kidneybeans
15.63,55.04,19.19,18.09,35.22,6.89,100.22,kidneybeans
17.88,72.22,26.76,21.52,26.33,6.13,112.34,kidneybeans
27.28,73.54,19.65,18.85,24.11,5.51,90.33,kidneybeans
19.65,54.1,16.28,18.4,29.07,5.59,112.44,kidneybeans
28.32,61.8,30.35,21.89,30.94,5.66,95.32,kidneybeans
22.02,76.79,22.53,17.2,38.38,5.64,81.15,kidneybeans
32.73,50.08,22.6,20.63,37.5,6.03,117.21,kidneybeans
31.39,58.96,23.63,22.81,38.32,6.55,83.75,kidneybeans
24.86,66.65,31.3,16.54,37.01,6.69,71.31,kidneybeans
30.46,60.02,21.42,26.17,39.29,6.39,82.13,kidneybeans
20.42,58.16,30.16,21.07,29.31,5.72,88.33,kidneybeans
24.89,63.8,33.79,24.83,20.95,6.62,87.57,kidneybeans
18.95,55.45,28.22,22.85,21.67,6.03,96.23,kidneybeans
32.22,65.89,23.63,23.52,27.81,5.52,114.16,kidneybeans
31.46,71.2,29.96,23.59,25.15,5.92,84.62,kidneybeans
33.04,67.26,24.16,25.5,23.4,6.0,96.04,kidneybeans
32.55,52.79,23.29,22.36,39.06,5.91,87.01,kidneybeans
34.19,75.33,25.51,18.34,23.91,6.72,111.09,kidneybeans
19.57,55.25,21.35,16.19,39.19,6.64,77.88,kidneybeans
33.64,72.94,17.09,22.28,35.22,6.54,75.18,kidneybeans
26.42,60.82,23.3,15.8,32.82,5.71,95.15,kidneybeans
23.45,73.48,17.48,17.9,33.52,6.71,103.59,kidneybeans
26.21,56.19,23.21,15.73,26.63,6.52,109.78,kidneybeans
21.85,55.6,26.14,21.59,32.93,5.79,99.48,kidneybeans
20.77,64.91,33.61,16.92,23.73,6.47,108.69,kidneybeans
19.83,50.99,15.72,22.32,38.75,6.23,89.64,kidneybeans
16.65,56.76,27.43,24.49,26.04,6.16,71.64,kidneybeans
24.93,71.72,24.15,24.86,25.1,5.67,75.8,kidneybeans
32.76,75.12,15.41,18.71,34.22,6.28,71.94,kidneybeans
27.6,52.42,19.99,21.59,33.13,5.65,86.45,kidneybeans
25.42,76.46,17.37,21.76,29.03,5.75,94.77,kidneybeans
23.57,73.93,19.34,20.67,32.65,5.7,87.82,kidneybeans
24.29,76.09,20.49,22.86,23.19,6.93,98.03,kidneybeans
19.19,70.95,23.03,17.52,33.47,5.93,94.03,kidneybeans
31.46,70.22,25.58,26.75,25.41,6.03,103.9,kidneybeans
18.97,65.75,15.02,16.18,25.46,5.98,103.35,kidneybeans
21.36,58.84,20.74,32.66,60.48,5.79,137.49,pigeonpeas
21.92,64.1,17.6,31.18,59.28,5.32,126.53,pigeonpeas
26.7,66.77,25.02,35.21,59.58,6.74,178.87,pigeonpeas
26.93,61.26,19.4,30.18,58.24,5.68,130.61,pigeonpeas
21.29,64.0,33.71,34.84,68.77,5.86,157.12,pigeonpeas
21.61,64.99,15.08,34.59,55.25,5.23,201.17,pigeonpeas
28.88,63.53,17.86,36.54,61.97,6.24,157.02,pigeonpeas
27.95,64.92,19.93,27.99,61.16,5.4,165.96,pigeonpeas
17.7,54.17,18.98,33.52,47.09,6.08,103.42,pigeonpeas
23.82,59.97,19.52,34.08,48.5,5.36,115.49,pigeonpeas
32.85,61.77,28.12,36.24,52.72,7.38,106.61,pigeonpeas
15.73,50.05,21.55,35.88,48.33,5.36,182.95,pigeonpeas
32.1,67.12,27.3,31.88,51.0,6.3,191.13,pigeonpeas
18.26,62.2,32.81,31.95,51.73,5.49,116.44,pigeonpeas
25.14,52.58,27.05,27.01,58.12,5.19,120.22,pigeonpeas
23.49,66.33,28.89,36.7,46.6,5.51,132.17,pigeonpeas
15.2,64.34,22.31,28.06,64.13,5.14,162.97,pigeonpeas
33.31,65.17,18.19,33.7,53.13,5.35,166.51,pigeonpeas
24.1,57.84,21.41,34.55,61.19,6.23,173.98,pigeonpeas
34.09,67.08,34.29,30.29,42.44,6.63,199.1,pigeonpeas
20.73,58.28,27.44,27.53,54.1,5.22,128.93,pigeonpeas
32.33,61.41,20.55,27.27,40.85,6.1,170.76,pigeonpeas
33.45,50.01,24.02,35.28,60.28,6.45,159.37,pigeonpeas
26.14,62.9,31.71,31.13,50.31,5.59,130.17,pigeonpeas
19.05,64.36,28.37,26.08,68.48,5.93,199.35,pigeonpeas
28.7,61.34,26.21,33.6,49.72,5.18,105.98,pigeonpeas
25.98,59.93,32.7,28.0,56.91,5.55,176.88,pigeonpeas
33.89,66.2,28.45,35.52,47.72,6.17,178.71,pigeonpeas
23.79,63.63,27.85,28.71,58.6,7.48,200.26,pigeonpeas
20.37,55.56,18.8,27.4,54.01,7.49,154.64,pigeonpeas
17.77,69.18,17.13,26.02,51.12,7.45,131.99,pigeonpeas
28.97,64.15,34.3,31.14,46.11,6.06,190.19,pigeonpeas
34.48,69.76,26.98,30.41,43.35,5.2,183.64,pigeonpeas
15.57,69.43,23.31,34.02,43.6,5.81,152.54,pigeonpeas
29.81,68.38,26.78,30.58,69.97,5.59,183.3,pigeonpeas
33.54,65.11,16.24,29.13,52.37,5.04,125.81,pigeonpeas
16.5,62.19,31.44,28.14,40.06,5.24,162.79,pigeonpeas
17.2,53.44,19.33,28.34,68.59,6.13,194.5,pigeonpeas
28.84,60.87,31.09,36.13,40.6,5.85,131.57,pigeonpeas
27.96,65.31,25.69,26.98,52.56,5.45,150.61,pigeonpeas
16.38,60.42,20.53,36.86,61.52,6.79,204.37,pigeonpeas
31.69,67.36,15.6,28.92,67.44,5.89,186.79,pigeonpeas
25.47,52.19,31.32,26.06,61.39,7.13,197.01,pigeonpeas
33.14,57.62,18.53,27.98,53.91,5.6,139.3,pigeonpeas
32.56,60.12,16.04,25.7,69.23,6.35,209.6,pigeonpeas
31.25,58.65,30.12,34.48,41.18,5.46,112.55,pigeonpeas
25.32,52.17,22.0,31.15,69.61,6.24,154.66,pigeonpeas
20.03,53.07,22.79,29.04,65.48,5.38,150.12,pigeonpeas
25.12,66.75,19.94,32.94,67.87,5.4,186.82,pigeonpeas
17.02,59.69,32.18,32.57,47.64,6.53,199.49,pigeonpeas
28.18,50.97,20.95,36.28,44.27,5.66,179.08,pigeonpeas
17.68,50.33,19.2,36.54,59.9,5.43,167.08,pigeonpeas
25.22,59.47,21.18,33.17,55.48,7.32,144.15,pigeonpeas
16.09,53.29,19.06,34.81,55.7,5.11,153.69,pigeonpeas
20.99,64.1,21.35,34.51,67.74,6.41,153.57,pigeonpeas
19.64,65.91,16.66,30.9,58.6,6.37,97.34,pigeonpeas
27.4,54.57,18.17,33.45,49.33,5.63,152.85,pigeonpeas
30.74,61.84,23.34,25.94,52.0,6.13,193.44,pigeonpeas
16.15,53.09,32.59,34.1,44.0,5.22,176.57,pigeonpeas
32.01,56.07,16.15,36.54,45.77,6.8,186.51,pigeonpeas
32.22,67.78,19.25,26.02,44.3,5.55,139.91,pigeonpeas
21.85,60.88,33.17,35.03,64.31,5.48,155.83,pigeonpeas
28.18,67.72,32.8,36.2,61.15,5.79,98.85,pigeonpeas
23.05,54.5,28.59,27.71,55.91,7.26,139.04,pigeonpeas
18.08,56.6,19.81,31.3,51.23,6.99,149.56,pigeonpeas
25.57,59.42,23.4,36.13,60.05,7.37,124.35,pigeonpeas
16.73,59.6,19.22,36.52,64.39,6.63,98.59,pigeonpeas
32.57,69.95,17.57,26.53,66.44,6.66,174.4,pigeonpeas
33.49,52.29,22.6,29.19,56.41,6.2,145.04,pigeonpeas
31.43,67.04,26.52,33.38,64.6,7.26,142.8,pigeonpeas
26.25,67.27,22.2,27.66,55.34,6.28,123.75,pigeonpeas
26.15,61.06,27.22,28.9,54.24,5.89,156.85,pigeonpeas
34.69,56.88,20.93,25.28,65.96,6.6,145.37,pigeonpeas
19.96,60.38,21.92,26.84,51.59,6.37,149.51,pigeonpeas
16.52,55.85,30.81,31.75,51.88,5.31,161.8,pigeonpeas
26.24,65.98,32.57,32.84,49.15,5.98,95.73,pigeonpeas
21.58,59.97,21.44,32.79,55.56,5.78,199.39,pigeonpeas
21.45,68.52,26.43,34.34,56.35,7.12,103.18,pigeonpeas
15.14,62.45,20.56,29.98,59.81,5.95,146.86,pigeonpeas
26.92,60.29,16.07,28.28,52.92,7.05,118.85,pigeonpeas
20.28,64.22,29.76,25.19,46.54,6.11,155.23,pigeonpeas
18.76,60.08,18.42,27.48,66.01,6.88,127.23,pigeonpeas
15.81,68.09,23.51,28.75,50.38,5.34,193.9,pigeonpeas
22.29,53.69,24.74,27.14,67.69,7.31,140.58,pigeonpeas
32.58,69.47,18.69,25.24,46.22,6.2,168.46,pigeonpeas
21.73,66.24,16.89,26.89,56.8,5.65,123.62,pigeonpeas
28.58,67.21,21.96,32.99,56.1,5.6,97.23,pigeonpeas
30.13,59.66,34.05,32.56,64.86,5.66,141.48,pigeonpeas
21.56,66.74,27.3,36.23,44.17,5.92,156.7,pigeonpeas
31.43,56.14,22.63,34.58,67.3,6.79,147.85,pigeonpeas
28.84,65.24,15.78,31.81,55.94,7.37,205.63,pigeonpeas
26.18,52.81,27.01,26.65,57.58,6.67,176.29,pigeonpeas
15.02,56.14,16.85,31.77,55.3,6.37,209.5,pigeonpeas
15.7,58.91,25.85,25.74,41.08,6.12,128.93,pigeonpeas
34.82,56.45,30.04,30.17,54.91,7.07,185.74,pigeonpeas
30.65,57.74,23.47,29.68,47.91,7.12,158.89,pigeonpeas
33.75,66.4,20.99,30.13,50.28,5.73,165.35,pigeonpeas
33.05,55.13,15.95,28.36,59.47,7.38,208.37,pigeonpeas
15.41,64.91,15.5,33.23,54.93,5.99,170.21,pigeonpeas
30.84,51.47,23.6,35.09,42.8,7.0,198.36,pigeonpeas
24.02,65.31,32.67,34.22,42.19,7.42,178.46,pigeonpeas
30.79,65.84,19.88,32.53,45.57,6.76,109.65,pigeonpeas
15.13,58.03,26.48,31.46,45.73,5.4,175.43,pigeonpeas
20.76,64.45,28.69,25.37,58.25,6.47,150.7,pigeonpeas
30.03,68.3,16.22,33.68,45.33,5.3,200.66,pigeonpeas
30.86,66.01,18.06,31.54,66.45,6.97,187.79,pigeonpeas
27.39,57.81,21.63,28.25,46.29,5.7,106.98,pigeonpeas
21.03,59.68,28.4,28.93,42.73,6.74,110.4,pigeonpeas
21.21,65.59,23.78,36.23,66.27,7.28,103.01,pigeonpeas
34.34,55.85,29.68,32.49,48.86,5.45,151.72,pigeonpeas
23.78,66.08,32.35,30.71,52.76,5.98,104.29,pigeonpeas
23.94,56.56,30.17,32.45,68.77,6.62,178.22,pigeonpeas
26.05,66.12,34.84,29.96,68.33,6.05,158.52,pigeonpeas
23.19,51.74,30.09,30.64,61.45,5.44,191.13,pigeonpeas
26.05,50.89,32.04,28.48,42.07,5.07,127.18,pigeonpeas
23.65,69.95,31.65,30.28,57.8,6.02,154.7,pigeonpeas
31.53,67.39,29.61,33.23,69.67,6.62,108.51,pigeonpeas
33.18,67.66,31.04,25.48,68.41,6.43,196.73,pigeonpeas
33.64,69.03,33.69,34.54,43.18,5.39,115.13,pigeonpeas
26.29,58.77,24.5,28.4,51.88,6.13,106.77,pigeonpeas
18.08,55.61,30.82,37.86,68.32,4.81,48.64,mothbeans
27.09,48.77,36.29,27.4,41.4,4.13,40.63,mothbeans
16.59,50.46,47.56,27.84,62.8,3.64,44.65,mothbeans
24.22,36.47,48.24,35.39,62.11,4.89,65.79,mothbeans
26.19,40.04,32.19,26.25,69.91,5.94,51.6,mothbeans
26.27,48.77,39.16,33.25,50.44,5.69,46.95,mothbeans
17.85,36.47,37.63,34.57,48.57,4.73,42.56,mothbeans
15.92,53.54,39.79,24.52,53.59,5.28,51.97,mothbeans
21.73,56.0,41.09,31.75,65.7,4.81,60.08,mothbeans
18.04,58.01,30.41,32.06,61.86,5.24,45.03,mothbeans
25.49,37.54,46.84,28.25,54.15,5.05,61.52,mothbeans
20.35,58.49,49.47,36.27,47.34,5.54,57.04,mothbeans
21.74,36.69,43.07,26.28,61.81,5.02,62.56,mothbeans
16.7,46.85,43.21,29.1,65.64,6.32,43.78,mothbeans
23.51,56.01,40.56,35.88,52.0,4.78,57.09,mothbeans
17.78,36.76,36.69,26.67,60.06,3.55,40.38,mothbeans
25.18,35.46,32.98,35.5,52.01,4.21,47.73,mothbeans
16.07,35.62,41.68,25.11,54.35,5.0,60.35,mothbeans
29.64,47.78,30.9,30.85,55.75,5.12,57.11,mothbeans
25.27,55.29,46.49,25.05,63.27,5.16,41.58,mothbeans
17.73,38.19,38.42,33.49,69.33,5.64,65.04,mothbeans
15.21,38.12,38.3,35.07,53.33,4.32,36.87,mothbeans
20.02,49.21,36.54,35.9,50.27,5.49,55.83,mothbeans
17.29,40.86,49.39,37.74,51.21,5.61,69.43,mothbeans
18.28,53.26,33.5,33.41,44.02,4.73,53.6,mothbeans
28.09,58.74,33.03,34.77,48.91,4.71,63.02,mothbeans
24.05,54.15,33.31,31.08,42.59,4.04,55.83,mothbeans
17.65,56.93,43.17,36.78,52.84,4.74,62.41,mothbeans
23.35,47.99,49.84,33.01,45.02,5.86,57.95,mothbeans
18.84,55.81,34.71,36.37,50.39,6.23,59.19,mothbeans
29.64,39.57,48.11,27.3,63.81,5.28,42.97,mothbeans
15.49,36.71,35.57,30.95,47.38,4.4,60.96,mothbeans
25.98,51.4,42.96,34.22,58.36,5.55,43.33,mothbeans
26.59,36.3,30.81,26.84,67.04,5.72,69.32,mothbeans
16.01,57.31,39.91,26.96,57.01,4.5,42.97,mothbeans
17.58,52.29,43.09,37.69,45.81,5.98,43.28,mothbeans
20.76,58.81,40.73,30.08,50.34,3.72,65.05,mothbeans
28.02,42.85,34.76,26.55,57.71,3.53,43.5,mothbeans
23.05,47.15,46.57,28.64,55.2,3.87,47.63,mothbeans
24.83,53.54,49.4,29.56,44.46,3.97,60.01,mothbeans
26.75,41.07,39.18,32.72,53.4,6.14,40.56,mothbeans
27.42,48.55,42.72,36.92,56.29,4.77,40.57,mothbeans
22.14,51.49,45.81,37.81,48.02,4.32,52.02,mothbeans
22.63,59.47,34.83,33.12,58.37,4.79,43.53,mothbeans
25.77,53.62,47.29,33.8,42.1,4.68,43.25,mothbeans
18.95,37.95,35.6,28.51,50.1,4.4,35.32,mothbeans
27.82,46.88,45.52,36.0,64.13,3.91,47.97,mothbeans
15.31,49.72,32.24,27.05,47.78,5.47,46.14,mothbeans
17.94,38.67,35.77,25.49,58.16,3.91,36.09,mothbeans
27.0,45.8,40.67,37.63,52.3,5.83,56.74,mothbeans
20.1,42.1,40.5,36.1,49.49,4.11,56.93,mothbeans
17.25,37.97,47.01,28.25,67.48,5.69,37.48,mothbeans
17.8,47.8,49.92,33.45,50.3,5.92,46.1,mothbeans
22.96,39.14,32.14,30.54,47.1,3.88,65.55,mothbeans
27.69,49.76,35.43,28.52,67.28,3.76,55.38,mothbeans
16.06,39.24,37.15,28.01,62.38,6.35,49.42,mothbeans
15.46,53.09,39.58,25.9,60.45,4.89,51.28,mothbeans
21.98,39.88,39.88,31.69,41.49,5.39,42.29,mothbeans
29.34,57.41,47.12,30.25,43.94,3.57,63.42,mothbeans
19.19,35.66,45.41,31.17,59.15,4.34,66.99,mothbeans
29.39,48.05,30.38,27.02,46.28,5.02,66.87,mothbeans
28.32,43.0,39.1,37.14,46.77,6.16,42.84,mothbeans
19.25,40.63,42.36,32.94,63.37,4.31,45.88,mothbeans
27.25,46.79,39.21,36.59,48.58,5.83,40.62,mothbeans
25.29,56.05,32.61,25.53,42.15,5.49,45.75,mothbeans
22.68,57.88,37.95,32.72,41.09,3.85,46.65,mothbeans
21.34,42.58,38.23,35.89,53.3,4.38,57.16,mothbeans
27.23,38.86,33.75,28.63,58.51,4.21,41.64,mothbeans
26.9,53.0,45.13,26.73,66.07,4.83,67.18,mothbeans
26.35,49.55,36.43,27.71,43.32,5.41,38.61,mothbeans
29.97,40.03,41.78,27.82,45.9,4.8,35.24,mothbeans
22.18,54.01,40.31,30.26,55.89,4.23,64.92,mothbeans
27.1,47.97,47.55,28.56,50.92,5.59,59.63,mothbeans
27.94,51.33,32.44,27.8,54.48,5.25,47.44,mothbeans
18.17,43.98,32.29,33.08,67.72,5.06,55.84,mothbeans
15.63,45.98,36.01,24.74,56.35,5.16,42.82,mothbeans
21.07,39.51,38.62,28.77,52.45,4.17,40.89,mothbeans
27.85,53.91,35.97,33.66,69.68,5.54,51.49,mothbeans
19.34,38.93,45.26,26.46,41.96,4.66,47.36,mothbeans
25.5,54.46,34.91,27.09,67.96,4.59,56.53,mothbeans
15.11,54.95,31.7,26.81,55.05,3.95,42.64,mothbeans
20.33,53.67,38.28,24.01,55.11,5.29,58.2,mothbeans
24.23,35.49,45.47,30.63,67.66,5.31,61.84,mothbeans
16.95,41.83,47.01,24.55,55.22,4.52,40.83,mothbeans
28.45,46.71,44.67,27.82,53.15,6.08,36.54,mothbeans
17.34,49.89,41.16,37.93,48.17,6.04,50.39,mothbeans
28.65,57.98,44.48,36.86,59.76,3.83,62.09,mothbeans
18.25,44.39,43.63,27.01,57.09,5.59,57.78,mothbeans
29.91,56.88,34.69,28.34,46.43,4.68,59.57,mothbeans
24.07,39.09,41.02,30.49,61.28,6.5,49.1,mothbeans
16.27,44.28,45.41,35.82,59.32,4.18,43.22,mothbeans
15.98,36.31,36.34,35.24,51.92,4.34,53.61,mothbeans
16.12,53.56,43.08,25.77,40.13,4.83,42.15,mothbeans
23.85,38.77,39.63,25.74,53.4,4.31,60.42,mothbeans
27.14,41.43,40.06,29.83,40.18,5.58,41.89,mothbeans
21.04,54.38,31.8,36.18,42.25,4.94,45.19,mothbeans
21.67,48.37,43.32,36.35,52.92,4.16,52.73,mothbeans
23.84,35.35,47.31,25.5,42.46,5.02,52.03,mothbeans
23.0,35.06,32.83,32.04,48.27,6.17,56.03,mothbeans
25.32,47.77,37.32,26.18,59.66,5.88,50.31,mothbeans
22.08,42.62,30.97,33.61,49.26,5.0,67.18,mothbeans
25.71,39.51,30.59,36.83,69.93,4.37,64.4,mothbeans
29.96,50.34,49.79,30.37,67.49,4.04,65.77,mothbeans
20.25,40.71,39.87,25.16,57.56,6.14,57.03,mothbeans
15.18,49.81,37.11,32.11,69.01,5.63,57.23,mothbeans
16.88,44.48,35.5,29.72,66.04,5.22,56.32,mothbeans
23.3,39.67,49.6,35.35,49.57,6.14,50.22,mothbeans
20.16,38.45,35.05,28.76,62.49,3.87,46.27,mothbeans
29.1,40.92,44.51,36.25,44.1,5.55,55.72,mothbeans
24.41,35.75,35.68,27.83,60.54,4.15,35.89,mothbeans
22.81,42.7,31.41,26.21,54.73,3.86,35.26,mothbeans
26.97,57.55,43.67,28.29,40.5,4.9,64.81,mothbeans
18.88,55.78,30.03,24.49,48.23,4.66,36.62,mothbeans
27.3,44.3,43.51,27.94,68.66,6.32,53.37,mothbeans
15.05,49.4,35.01,33.24,49.47,4.47,56.52,mothbeans
24.3,49.18,44.92,25.99,45.44,5.94,41.94,mothbeans
29.02,55.72,45.4,25.56,45.63,5.75,66.35,mothbeans
26.82,40.91,44.48,25.85,54.38,5.5,41.65,mothbeans
27.8,42.41,30.49,25.09,65.28,6.26,65.96,mothbeans
20.95,42.54,44.07,36.24,62.74,4.72,61.7,mothbeans
18.61,69.69,38.94,32.5,83.87,6.59,52.0,mungbean
17.26,67.88,22.57,27.21,79.99,7.0,72.77,mungbean
19.74,39.4,39.65,29.23,83.59,6.98,68.62,mungbean
20.97,49.53,24.46,26.61,88.47,6.58,73.3,mungbean
18.69,57.71,19.99,31.08,80.63,6.82,61.75,mungbean
29.98,60.67,17.81,33.02,93.3,6.43,60.33,mungbean
18.44,47.82,34.62,28.9,81.13,6.78,58.96,mungbean
27.46,61.12,28.87,26.8,78.96,6.28,65.41,mungbean
17.39,39.35,22.68,27.49,94.09,6.63,58.79,mungbean
29.7,46.61,30.21,34.0,91.21,6.38,68.66,mungbean
18.38,60.08,23.3,27.94,81.86,7.08,70.03,mungbean
21.33,56.9,26.21,33.52,91.83,6.64,71.9,mungbean
23.38,64.3,36.57,28.64,85.38,6.79,56.07,mungbean
16.8,36.64,31.7,27.08,81.94,6.56,63.18,mungbean
27.25,41.1,34.06,33.0,91.79,6.49,55.59,mungbean
19.12,36.7,29.59,30.15,90.04,6.4,50.94,mungbean
23.24,41.72,39.78,25.34,80.96,7.11,67.7,mungbean
23.24,35.15,21.04,35.56,87.13,7.0,63.72,mungbean
24.04,52.65,21.56,26.63,82.39,6.33,68.1,mungbean
15.83,53.49,17.31,28.89,75.02,6.95,52.19,mungbean
17.53,58.03,28.85,29.23,94.24,6.62,74.89,mungbean
17.42,48.47,30.33,30.38,85.99,6.22,74.86,mungbean
19.53,35.11,33.15,33.64,86.97,6.73,61.62,mungbean
17.17,58.59,23.39,25.07,87.0,6.33,71.65,mungbean
28.83,36.9,15.31,35.26,86.01,6.41,56.09,mungbean
22.69,65.32,30.81,32.11,80.8,6.9,68.44,mungbean
24.35,35.79,39.97,35.46,94.43,6.46,71.98,mungbean
20.36,53.57,22.36,33.99,87.43,7.09,70.37,mungbean
19.14,66.32,19.6,35.21,88.42,6.86,70.29,mungbean
22.55,55.04,22.04,31.61,84.1,7.03,61.58,mungbean
19.41,56.29,25.64,28.93,80.76,6.82,70.5,mungbean
20.15,58.86,21.27,29.87,76.29,7.07,67.27,mungbean
21.79,39.28,23.67,32.24,82.0,6.56,53.31,mungbean
22.59,58.62,30.96,29.7,78.52,6.75,52.85,mungbean
29.76,65.81,23.63,33.05,88.24,6.72,69.3,mungbean
18.35,69.1,24.9,26.01,92.58,7.1,65.64,mungbean
22.32,50.51,16.0,34.13,81.06,6.36,62.98,mungbean
17.24,47.06,37.95,27.25,81.66,6.78,72.68,mungbean
20.25,61.37,25.17,35.38,88.41,6.95,66.49,mungbean
25.76,54.0,23.2,26.71,77.99,6.57,59.9,mungbean
17.62,44.01,17.16,26.42,93.59,7.07,60.35,mungbean
23.72,41.03,30.85,33.93,82.28,6.57,65.13,mungbean
21.25,40.96,36.6,34.01,77.02,6.37,69.01,mungbean
15.77,51.07,16.03,33.13,78.49,6.78,64.11,mungbean
29.0,40.95,18.63,35.57,93.65,6.62,62.72,mungbean
21.2,35.69,18.66,27.98,79.94,6.22,68.17,mungbean
26.76,36.82,30.06,34.09,88.25,6.27,67.63,mungbean
21.24,67.55,38.03,28.87,78.12,6.4,70.76,mungbean
29.06,37.55,25.94,30.91,78.88,6.97,51.56,mungbean
19.36,37.56,23.6,29.9,92.58,7.09,68.87,mungbean
21.18,50.79,34.15,25.06,77.96,6.75,62.84,mungbean
26.38,43.58,33.56,31.32,75.38,6.31,51.87,mungbean
20.16,68.69,21.17,33.22,85.02,6.73,66.98,mungbean
20.47,66.88,19.02,26.92,92.25,7.06,67.91,mungbean
29.92,49.17,23.95,35.25,81.52,6.95,63.09,mungbean
23.33,50.71,34.39,30.83,77.56,6.49,69.84,mungbean
25.34,48.13,32.38,26.96,94.64,6.32,57.51,mungbean
24.65,36.33,31.65,32.11,88.53,7.1,55.05,mungbean
27.42,45.25,35.74,27.11,92.01,7.05,58.77,mungbean
27.93,39.29,21.93,25.7,90.04,6.25,60.25,mungbean
23.45,38.58,23.49,32.54,88.96,7.02,67.4,mungbean
19.42,54.63,16.06,26.22,82.69,6.3,71.14,mungbean
15.34,38.46,36.72,26.17,81.49,6.26,68.02,mungbean
24.22,38.6,29.56,33.14,89.34,6.96,54.35,mungbean
27.38,51.82,22.45,25.61,89.33,6.74,59.16,mungbean
21.76,50.48,16.74,33.91,94.01,6.61,53.96,mungbean
17.47,39.82,33.09,33.76,86.37,7.1,67.17,mungbean
19.32,35.16,33.72,26.56,80.89,7.04,56.2,mungbean
22.65,41.75,31.65,30.7,84.79,6.26,63.13,mungbean
27.55,43.26,20.09,26.06,87.27,6.82,69.8,mungbean
17.58,63.01,37.83,31.96,83.53,6.97,66.77,mungbean
24.18,67.04,33.83,25.69,90.82,6.75,57.46,mungbean
26.3,49.21,31.44,35.39,86.69,7.18,58.32,mungbean
29.04,49.18,31.27,27.29,75.19,6.89,66.33,mungbean
16.75,59.94,37.61,32.51,86.4,6.3,63.74,mungbean
28.9,56.94,38.21,26.41,87.67,6.4,52.41,mungbean
24.02,41.44,29.89,27.31,93.31,7.03,71.85,mungbean
26.5,38.77,25.42,29.96,83.27,7.2,62.82,mungbean
15.81,50.32,24.09,31.3,86.49,6.3,61.83,mungbean
22.59,54.77,35.48,35.99,84.5,6.3,54.96,mungbean
24.34,39.85,31.12,25.29,85.63,6.96,59.42,mungbean
19.6,45.26,16.93,25.0,76.35,6.26,58.32,mungbean
21.47,45.71,18.55,28.85,92.95,6.27,56.77,mungbean
23.31,44.15,37.5,29.03,93.21,7.09,64.19,mungbean
23.29,51.13,37.11,34.72,85.96,7.0,61.56,mungbean
15.63,57.86,38.8,35.04,86.13,7.08,72.23,mungbean
21.59,52.83,25.7,34.69,76.15,6.85,73.53,mungbean
18.21,42.05,34.6,26.57,86.96,6.52,55.49,mungbean
28.75,38.6,35.71,29.53,83.58,7.11,52.5,mungbean
29.65,63.77,22.89,33.2,89.18,6.5,69.63,mungbean
19.49,51.78,18.63,28.44,75.94,6.48,74.87,mungbean
17.63,37.17,39.93,32.3,89.22,7.09,71.59,mungbean
18.29,44.03,15.76,27.61,80.74,6.88,50.59,mungbean
22.17,63.14,29.93,28.56,88.03,7.1,56.28,mungbean
28.12,61.31,31.26,34.46,87.54,6.36,51.08,mungbean
22.5,65.65,32.04,27.76,79.54,7.15,70.52,mungbean
15.83,56.07,21.39,35.61,83.81,6.81,64.54,mungbean
15.6,49.8,33.04,28.37,91.71,6.87,62.84,mungbean
18.41,49.93,20.41,25.26,87.11,7.11,63.86,mungbean
27.64,41.79,35.73,27.8,76.37,6.58,56.31,mungbean
24.32,57.78,20.48,26.88,83.86,6.92,65.04,mungbean
23.44,55.48,32.42,30.58,81.24,6.84,50.77,mungbean
19.78,40.42,34.59,26.24,87.83,6.99,66.15,mungbean
28.94,66.0,19.72,31.89,87.29,7.1,68.36,mungbean
19.97,47.9,20.95,34.62,75.21,6.88,66.83,mungbean
27.52,36.74,34.48,28.99,87.15,6.27,58.3,mungbean
28.44,46.48,17.15,26.85,89.7,6.38,70.66,mungbean
22.25,65.44,19.77,29.4,90.37,7.15,67.89,mungbean
28.41,67.09,26.39,33.65,76.18,7.17,53.21,mungbean
19.15,52.16,38.25,31.51,81.07,7.17,54.88,mungbean
24.88,68.47,29.05,26.11,83.43,6.24,65.93,mungbean
16.32,65.63,24.69,30.91,78.6,6.58,57.24,mungbean
22.11,63.88,39.46,30.15,83.41,6.96,52.99,mungbean
18.26,65.09,26.59,28.6,76.42,6.95,53.87,mungbean
15.94,48.37,25.84,26.21,77.26,6.29,54.14,mungbean
15.06,61.48,25.29,35.79,88.37,6.81,61.94,mungbean
19.87,55.21,22.8,26.94,80.25,6.34,65.18,mungbean
23.84,60.19,23.14,27.12,89.23,6.69,54.41,mungbean
